ticker,n_dates,buffett_rate,trifecta_rate,dual_rate,median_composite,composite_std
VRSN,7,0.0,0.0,0.0,4.572,0.026020166172011087
SNA,7,0.0,0.0,0.0,3.5583,0.030894759919381246
TXT,7,0.0,0.0,0.0,2.5596,0.028562021070278602
KLAC,5,0.0,0.0,0.0,2.546,0.042172882282338814
ADBE,6,1.0,0.0,0.0,2.45655,0.05151020934403834
RSG,6,0.0,0.0,0.0,2.412,0.014152832460912888
CTAS,7,1.0,0.0,0.0,2.3018,0.0
RMD,6,1.0,0.0,0.0,2.2140500000000003,0.018049893813168617
VLTO,7,0.0,0.0,0.0,2.0932,0.01544580386845761
ITW,6,0.0,0.0,0.0,2.0379,0.006414592738436459
UNP,7,0.0,0.0,0.0,2.0257,0.010269812443226533
CHTR,7,0.0,0.2857142857142857,0.0,1.9479,0.034729704590629414
AVY,6,0.0,0.0,0.0,1.9437000000000002,0.009063332720362928
CPRT,6,1.0,0.0,0.0,1.94015,0.046760898907812626
AME,6,0.0,0.0,0.0,1.8849,0.024100518666617877
MA,7,0.0,0.0,0.0,1.8296,0.012776373283749726
WST,7,1.0,0.0,0.0,1.8043,0.028937444847216772
HCA,7,0.0,0.0,0.0,1.7991,0.01758244524952031
V,5,1.0,0.0,0.0,1.7867,0.016000999968751883
IEX,7,0.0,0.0,0.0,1.7728,0.04038967925691149
ODFL,6,1.0,0.0,0.0,1.7439,0.025531738418420834
PH,5,0.0,0.0,0.0,1.7378,0.0368498303930967
USB,6,0.0,0.0,0.0,1.7015,0.0
LDOS,6,0.0,0.0,0.0,1.6548,0.03543447003507556
EFX,6,0.0,0.0,0.0,1.6527,0.03346214278853057
EXPD,6,1.0,0.0,0.0,1.6316,0.0247855334150118
CHRW,6,1.0,0.0,0.0,1.6177000000000001,0.052101724219709614
IDXX,6,1.0,0.0,0.0,1.5824,0.005748043145279855
WFC,7,0.0,0.0,0.0,1.5793,0.001058300524425816
TPL,6,1.0,0.0,0.0,1.5718,0.0
TFC,6,0.0,0.0,0.0,1.5577,0.0
JKHY,6,1.0,0.0,0.0,1.54395,0.014595398818349193
FDS,7,1.0,0.0,0.0,1.5406,0.05450145039572878
PGR,6,1.0,0.0,0.0,1.53225,0.023124481976179893
GDDY,7,0.0,0.0,0.0,1.5219,0.058773248692791845
AOS,7,1.0,0.0,0.0,1.4967,0.006254255693982642
HSIC,6,0.0,0.0,0.0,1.49475,0.019337218000529486
AXP,6,0.0,0.0,0.0,1.4861,0.01076438572330072
IBKR,6,1.0,0.0,0.0,1.4464,0.011887640640598076
FAST,6,1.0,0.0,0.0,1.4444,0.011430952132988203
CME,7,0.0,0.0,0.0,1.44,0.04001978082327357
UHS,6,0.0,0.0,0.0,1.4338,0.010932642254581848
KIM,6,0.0,0.0,0.0,1.4102999999999999,0.01262394550051612
ANET,6,0.0,0.0,0.0,1.3893,0.0007348469228350021
BNY,5,0.0,0.0,0.0,1.3787,0.00788530278429445
LIN,6,0.0,0.0,0.0,1.3775,0.014223419654452545
XEL,7,0.0,0.0,0.0,1.3679,0.025340725738470574
OTIS,7,0.0,0.0,0.0,1.3672,0.02075377188896149
NDAQ,7,0.0,0.0,0.0,1.3504,0.023060025193064267
WRB,6,0.0,0.0,0.0,1.32885,0.022100656098858168
DOV,7,0.0,0.0,0.0,1.3258,0.037691719439231074
ZTS,6,0.0,0.0,0.0,1.31535,0.03045376823974337
CI,7,0.0,0.0,0.0,1.3017,0.012760971003508304
MNST,6,1.0,0.0,0.0,1.301,0.023004579254284653
TROW,6,1.0,0.0,0.0,1.2946499999999999,0.008469395885579245
FLEX,6,0.0,0.0,0.0,1.2852000000000001,0.09862974027476024
TEL,6,1.0,0.0,0.0,1.2771,0.04182839944344035
RJF,6,0.0,0.0,0.0,1.2718,0.010900535155058505
KEY,6,0.0,0.0,0.0,1.2631,0.0
CDW,6,0.0,0.0,0.0,1.2616,0.04148710643079367
MTB,6,0.0,0.0,0.0,1.2439,0.0
VEEV,6,0.0,0.0,0.0,1.2434,0.006899396108839242
VRSK,7,0.0,0.0,0.0,1.2419,0.03579236417636217
HIG,7,1.0,0.0,0.0,1.2382,0.008543000476580721
PNC,6,0.0,0.0,0.0,1.2333,0.0
SPGI,7,0.0,0.0,0.0,1.2321,0.022639304212764454
UAL,6,0.0,0.0,0.0,1.22225,0.03880646423814814
ETN,6,0.0,0.0,0.0,1.221,0.01290064597865802
DGX,7,0.0,0.0,0.0,1.2195,0.05147155941460708
ISRG,7,0.0,0.0,0.0,1.2153,0.0
GE,7,0.0,0.0,0.0,1.2075,0.04480921992711094
TDY,7,0.0,0.0,0.0,1.207,0.04633697998667709
VTR,7,0.0,0.0,0.0,1.2045,0.06796052075251027
EMR,5,0.0,0.0,0.0,1.1999,0.032504107432753795
FTNT,7,1.0,0.0,0.0,1.1999,0.01467263406741238
SLB,7,0.0,0.0,0.0,1.1995,0.06914124948937776
URI,7,0.0,0.0,0.0,1.1857,0.013168703880973368
MDT,6,0.0,0.0,0.0,1.1696499999999999,0.034082923387917706
ALLE,6,1.0,0.0,0.0,1.15655,0.017975807816803916
ROST,6,1.0,0.0,0.0,1.1492,0.042452357610227885
CPAY,6,0.0,0.0,0.0,1.1471,0.020555137232980657
FFIV,5,1.0,0.0,0.0,1.1466,0.022136508306415382
FSLR,7,1.0,0.0,0.0,1.1303,0.04464171655685806
NDSN,5,0.0,0.0,0.0,1.1102,0.045847431771038095
TMO,6,0.0,0.0,0.0,1.1027,0.025993306830797824
JBHT,7,0.0,0.0,0.0,1.0996,0.0420886536005224
PPG,7,0.0,0.0,0.0,1.0935,0.03131900381557505
EME,7,1.0,0.0,0.0,1.0865,0.03900033577389033
OKE,6,0.0,0.0,0.0,1.0801500000000002,0.04685231050866105
ADP,6,1.0,0.0,0.0,1.07855,0.02992261129424811
ULTA,6,1.0,0.0,0.0,1.0762,0.027666182726691236
BKR,6,0.0,0.0,0.0,1.07485,0.07341997003540654
CRM,6,0.0,0.0,0.0,1.0685,0.03585815109567141
GEHC,7,0.0,0.0,0.0,1.0586,0.03837151100937851
HUBB,7,0.0,0.0,0.0,1.0577,0.030490911994981724
NSC,7,0.0,0.0,0.0,1.0537,0.042895898349819966
GRMN,7,1.0,0.0,0.0,1.0511,0.01993670938124888
PCG,7,0.0,0.14285714285714285,0.0,1.0439,0.0051829390448717705
PHM,7,0.0,0.0,0.0,1.0381,0.0318852555863917
PCAR,7,0.0,0.0,0.0,1.0374,0.047841150846167066
NVR,6,1.0,0.0,0.0,1.0372,0.012417796369189962
ACN,5,1.0,0.0,0.0,1.0354,0.03560648817280353
ORLY,6,0.0,0.0,0.0,1.0345499999999999,0.020489940621355375
L,6,0.0,0.0,0.0,1.0344,0.0
GL,6,0.0,0.0,0.0,1.03355,0.007509038997545953
CSX,7,0.0,0.0,0.0,1.0268,0.02540816329262631
NTAP,6,0.0,0.0,0.0,1.0188000000000001,0.01620622308456436
DXCM,7,1.0,0.0,0.0,1.0134,0.027445140085008007
PNR,6,0.0,0.0,0.0,1.0122,0.03867768090255675
INCY,5,1.0,0.0,0.0,1.0107,0.03309264268685711
AMP,6,1.0,0.0,0.0,1.0086,0.0
SYK,6,0.0,0.0,0.0,0.9988,0.006776921621700145
PSA,6,0.0,0.0,0.0,0.99715,0.014940102632400703
VRT,7,1.0,0.0,0.0,0.9951,0.05746267939984635
CNP,7,0.0,0.0,0.0,0.9933,0.032762820100723566
CMG,6,0.0,0.0,0.0,0.9911,0.014966596139403265
APA,6,0.0,0.16666666666666666,0.0,0.9849,0.08097503318924916
STE,6,0.0,0.0,0.0,0.9842,0.029784274374239795
VICI,7,0.0,0.0,0.0,0.9816,0.0166789145473017
CBOE,6,1.0,0.0,0.0,0.9744999999999999,0.021194000723475215
ACGL,6,1.0,0.0,0.0,0.9686,0.0
FIX,7,1.0,0.0,0.0,0.9661,0.0831245336542593
KMI,6,0.0,0.0,0.0,0.96385,0.04013241831736538
WSM,6,1.0,0.0,0.0,0.96385,0.01888000706214557
EBAY,6,0.0,0.0,0.0,0.9622999999999999,0.025618977341025907
AIZ,6,0.0,0.0,0.0,0.9599,0.00789708807092839
JBL,7,0.0,0.0,0.0,0.9595,0.09554490841384237
DHI,6,0.0,0.0,0.0,0.9595,0.05227563167161791
MS,6,0.0,0.0,0.0,0.9575,0.020345490900934255
ROL,7,1.0,0.0,0.0,0.9568,0.0
NEM,7,1.0,0.0,0.0,0.9542,0.08350997374137843
MET,6,0.0,0.0,0.0,0.94615,0.005023809975174844
MCO,7,0.0,0.0,0.0,0.9451,0.013404938677680736
STT,6,0.0,0.0,0.0,0.9437,0.0034292856398964434
TYL,7,0.0,0.0,0.0,0.9401,0.004611166570712565
KVUE,6,0.0,0.0,0.0,0.94,0.05166463651925429
SYY,5,0.0,0.0,0.0,0.9344,0.008703849722967429
ES,6,0.0,0.16666666666666666,0.0,0.9337500000000001,0.0066540213405128406
TJX,6,0.0,0.0,0.0,0.93335,0.023280778910222576
LVS,7,0.0,0.0,0.0,0.9329,0.013224778331025535
